metric,tag,value
mean_reward,Train/mean_reward,6194.73876953125
success_rate,coordinate_curriculum/plane_localization_success_rate,0.00048828125
center_3cm_rate,coordinate_curriculum/plane_localization_center_3cm_rate,0.00048828125
near_center_7cm_rate,coordinate_curriculum/plane_localization_near_center_7cm_rate,0.881103515625
strict_region_center_success_rate,coordinate_curriculum/plane_localization_strict_region_center_success_rate,0.00048828125
mean_distance_m,coordinate_curriculum/plane_localization_mean_distance,0.054496340453624725
camera_region_entry_rate,coordinate_curriculum/plane_localization_camera_region_entry_rate,0.939697265625
camera_region_match_rate,coordinate_curriculum/plane_localization_camera_region_match_rate,1.0
inside_workspace_rate,coordinate_curriculum/plane_localization_inside_workspace_rate,0.890869140625
target_stereo_visible_rate,coordinate_curriculum/plane_localization_target_stereo_visible_rate,1.0
target_gripper_camera_visible_rate,coordinate_curriculum/plane_localization_target_gripper_camera_visible_rate,0.9013671875
target_three_camera_visible_rate,coordinate_curriculum/plane_localization_target_three_camera_visible_rate,0.9013671875
gripper_stereo_visible_rate,coordinate_curriculum/plane_localization_gripper_stereo_visible_rate,0.95751953125
active_region_number,coordinate_curriculum/plane_localization_active_region_number,9.0
mastered_region_count,coordinate_curriculum/plane_localization_mastered_region_count,9.0
