metric,tag,value
mean_reward,Train/mean_reward,36573.90234375
success_rate,coordinate_curriculum/plane_localization_success_rate,0.0
center_1cm_rate,coordinate_curriculum/plane_localization_center_1cm_rate,0.0
fine_center_4cm_rate,coordinate_curriculum/plane_localization_fine_center_4cm_rate,0.9140625
near_center_7cm_rate,coordinate_curriculum/plane_localization_near_center_7cm_rate,0.925048828125
strict_region_center_success_rate,coordinate_curriculum/plane_localization_strict_region_center_success_rate,0.0
mean_distance_m,coordinate_curriculum/plane_localization_mean_distance,0.028308995068073273
camera_region_entry_rate,coordinate_curriculum/plane_localization_camera_region_entry_rate,0.9287109375
camera_region_match_rate,coordinate_curriculum/plane_localization_camera_region_match_rate,1.0
target_estimate_error_m,coordinate_curriculum/plane_localization_mean_target_estimate_error,2.795873577099428e-08
target_overshoot_m,coordinate_curriculum/plane_localization_mean_target_overshoot,0.0008181522716768086
preferred_approach_error_m,coordinate_curriculum/plane_localization_mean_preferred_approach_error,0.025198331102728844
gripper_camera_direction_error,coordinate_curriculum/plane_localization_mean_gripper_camera_direction_error,0.04415620118379593
inside_workspace_rate,coordinate_curriculum/plane_localization_inside_workspace_rate,0.908203125
target_stereo_visible_rate,coordinate_curriculum/plane_localization_target_stereo_visible_rate,1.0
target_gripper_camera_visible_rate,coordinate_curriculum/plane_localization_target_gripper_camera_visible_rate,0.947021484375
target_three_camera_visible_rate,coordinate_curriculum/plane_localization_target_three_camera_visible_rate,0.947021484375
three_camera_ready_rate,coordinate_curriculum/plane_localization_three_camera_ready_rate,0.947021484375
gripper_stereo_visible_rate,coordinate_curriculum/plane_localization_gripper_stereo_visible_rate,0.96337890625
active_region_number,coordinate_curriculum/plane_localization_active_region_number,27.0
mastered_region_count,coordinate_curriculum/plane_localization_mastered_region_count,27.0
