metric,tag,value
mean_reward,Train/mean_reward,38194.67578125
success_rate,coordinate_curriculum/plane_localization_success_rate,0.0
center_success_radius_rate,coordinate_curriculum/plane_localization_center_success_radius_rate,0.0
center_1cm_rate,coordinate_curriculum/plane_localization_center_1cm_rate,0.0
fine_center_4cm_rate,coordinate_curriculum/plane_localization_fine_center_4cm_rate,0.693359375
fine_center_radius_rate,coordinate_curriculum/plane_localization_fine_center_radius_rate,0.693359375
near_center_7cm_rate,coordinate_curriculum/plane_localization_near_center_7cm_rate,0.7392578125
near_center_radius_rate,coordinate_curriculum/plane_localization_near_center_radius_rate,0.7392578125
strict_region_center_success_rate,coordinate_curriculum/plane_localization_strict_region_center_success_rate,0.0
mean_distance_m,coordinate_curriculum/plane_localization_mean_distance,0.05510896444320679
camera_region_entry_rate,coordinate_curriculum/plane_localization_camera_region_entry_rate,0.808349609375
camera_region_match_rate,coordinate_curriculum/plane_localization_camera_region_match_rate,1.0
target_estimate_error_m,coordinate_curriculum/plane_localization_mean_target_estimate_error,2.6666299390853965e-08
target_overshoot_m,coordinate_curriculum/plane_localization_mean_target_overshoot,0.003816588781774044
preferred_approach_error_m,coordinate_curriculum/plane_localization_mean_preferred_approach_error,0.019829388707876205
gripper_camera_direction_error,coordinate_curriculum/plane_localization_mean_gripper_camera_direction_error,0.1589939296245575
inside_workspace_rate,coordinate_curriculum/plane_localization_inside_workspace_rate,0.7646484375
target_stereo_visible_rate,coordinate_curriculum/plane_localization_target_stereo_visible_rate,1.0
target_gripper_camera_visible_rate,coordinate_curriculum/plane_localization_target_gripper_camera_visible_rate,0.809814453125
target_three_camera_visible_rate,coordinate_curriculum/plane_localization_target_three_camera_visible_rate,0.809814453125
three_camera_ready_rate,coordinate_curriculum/plane_localization_three_camera_ready_rate,0.809814453125
gripper_stereo_visible_rate,coordinate_curriculum/plane_localization_gripper_stereo_visible_rate,0.899658203125
active_region_number,coordinate_curriculum/plane_localization_active_region_number,27.0
mastered_region_count,coordinate_curriculum/plane_localization_mastered_region_count,26.0
