region_number,success_count,best_episode_reward,mastered,active
1,41,33850.640625,1,0
2,25,37338.332031,1,0
3,24,27335.716797,1,0
4,24,27048.738281,1,0
5,50,39520.730469,1,0
6,16,30117.115234,1,0
7,39,35866.257812,1,0
8,48,32624.869141,1,0
9,29,33806.976562,1,0
10,23,38728.445312,1,0
11,61,36436.808594,1,0
12,47,37536.968750,1,0
13,82,30661.636719,1,0
14,92,41379.500000,1,0
15,43,44252.195312,1,0
16,23,37523.082031,1,0
17,16,39954.359375,1,0
18,27,38390.578125,1,0
19,32,39756.765625,1,0
20,34,42845.472656,1,0
21,20,41144.468750,1,0
22,64,27639.736328,1,0
23,77,37773.277344,1,0
24,40,42530.257812,1,0
25,21,41799.050781,1,0
26,12,41855.281250,1,0
27,0,,0,1
