metric,tag,value
mean_reward,Train/mean_reward,3776.748046875
success_rate,coordinate_curriculum/plane_localization_success_rate,0.0
center_3cm_rate,coordinate_curriculum/plane_localization_center_3cm_rate,0.0
strict_region_center_success_rate,coordinate_curriculum/plane_localization_strict_region_center_success_rate,0.0
mean_distance_m,coordinate_curriculum/plane_localization_mean_distance,0.05339999869465828
camera_region_entry_rate,coordinate_curriculum/plane_localization_camera_region_entry_rate,0.961669921875
inside_workspace_rate,coordinate_curriculum/plane_localization_inside_workspace_rate,0.91162109375
gripper_stereo_visible_rate,coordinate_curriculum/plane_localization_gripper_stereo_visible_rate,0.975341796875
active_region_number,coordinate_curriculum/plane_localization_active_region_number,8.0
mastered_region_count,coordinate_curriculum/plane_localization_mastered_region_count,7.0
