metric,tag,value
mean_reward,Train/mean_reward,6028.431640625
success_rate,coordinate_curriculum/plane_localization_success_rate,0.00048828125
center_3cm_rate,coordinate_curriculum/plane_localization_center_3cm_rate,0.00048828125
near_center_7cm_rate,coordinate_curriculum/plane_localization_near_center_7cm_rate,0.86669921875
strict_region_center_success_rate,coordinate_curriculum/plane_localization_strict_region_center_success_rate,0.00048828125
mean_distance_m,coordinate_curriculum/plane_localization_mean_distance,0.05551958456635475
camera_region_entry_rate,coordinate_curriculum/plane_localization_camera_region_entry_rate,0.944580078125
inside_workspace_rate,coordinate_curriculum/plane_localization_inside_workspace_rate,0.884033203125
gripper_stereo_visible_rate,coordinate_curriculum/plane_localization_gripper_stereo_visible_rate,0.965087890625
active_region_number,coordinate_curriculum/plane_localization_active_region_number,9.0
mastered_region_count,coordinate_curriculum/plane_localization_mastered_region_count,9.0
