metric,tag,value
mean_reward,Train/mean_reward,12992.6787109375
success_rate,coordinate_curriculum/plane_localization_success_rate,0.0
center_1cm_rate,coordinate_curriculum/plane_localization_center_1cm_rate,0.0
near_center_7cm_rate,coordinate_curriculum/plane_localization_near_center_7cm_rate,0.894287109375
strict_region_center_success_rate,coordinate_curriculum/plane_localization_strict_region_center_success_rate,0.0
mean_distance_m,coordinate_curriculum/plane_localization_mean_distance,0.03447275608778
camera_region_entry_rate,coordinate_curriculum/plane_localization_camera_region_entry_rate,0.913330078125
camera_region_match_rate,coordinate_curriculum/plane_localization_camera_region_match_rate,1.0
target_estimate_error_m,coordinate_curriculum/plane_localization_mean_target_estimate_error,1.6189922291687253e-08
target_overshoot_m,coordinate_curriculum/plane_localization_mean_target_overshoot,0.012796144932508469
preferred_approach_error_m,coordinate_curriculum/plane_localization_mean_preferred_approach_error,0.026382457464933395
inside_workspace_rate,coordinate_curriculum/plane_localization_inside_workspace_rate,0.890380859375
target_stereo_visible_rate,coordinate_curriculum/plane_localization_target_stereo_visible_rate,1.0
target_gripper_camera_visible_rate,coordinate_curriculum/plane_localization_target_gripper_camera_visible_rate,0.919677734375
target_three_camera_visible_rate,coordinate_curriculum/plane_localization_target_three_camera_visible_rate,0.919677734375
gripper_stereo_visible_rate,coordinate_curriculum/plane_localization_gripper_stereo_visible_rate,0.946533203125
active_region_number,coordinate_curriculum/plane_localization_active_region_number,9.0
mastered_region_count,coordinate_curriculum/plane_localization_mastered_region_count,9.0
